Tiempo: 0.0, Theta: 1.0, dTheta: 0.0
Tiempo: 0.7107107107107107, Theta: 0.7634651344244556, dTheta: -0.6297371875402772
Tiempo: 0.7207207207207207, Theta: 0.757125091691969, dTheta: -0.6367133588924332
Tiempo: 0.7307307307307307, Theta: 0.7507157918392705, dTheta: -0.6436189005199578
Tiempo: 0.7407407407407407, Theta: 0.744237985914552, dTheta: -0.6504531932661595
Tiempo: 0.7507507507507507, Theta: 0.7376924337690071, dTheta: -0.6572156246122344
Tiempo: 0.7607607607607607, Theta: 0.731079904056832, dTheta: -0.6639055886772658
Tiempo: 0.7707707707707707, Theta: 0.7244008865987965, dTheta: -0.6705229127261783
Tiempo: 0.7807807807807807, Theta: 0.7176556787958307, dTheta: -0.6770676785325008
Tiempo: 0.7907907907907907, Theta: 0.7108450654762272, dTheta: -0.6835392240589576
Tiempo: 0.8008008008008007, Theta: 0.703969842072464, dTheta: -0.6899368857308058
Tiempo: 0.8108108108108109, Theta: 0.6970308063934423, dTheta: -0.6962600109332836
Tiempo: 0.8208208208208209, Theta: 0.6900287586244858, dTheta: -0.7025079580116099
Tiempo: 0.8308308308308309, Theta: 0.6829645013273411, dTheta: -0.708680096270985
Tiempo: 0.8408408408408409, Theta: 0.6758388394401779, dTheta: -0.7147758059765901
Tiempo: 0.8508508508508509, Theta: 0.6686525802775884, dTheta: -0.7207944783535872
Tiempo: 0.8608608608608609, Theta: 0.661406533530588, dTheta: -0.7267355155871197
Tiempo: 0.8708708708708709, Theta: 0.6541015112666148, dTheta: -0.7325983308223116
Tiempo: 0.8808808808808809, Theta: 0.6467383279295295, dTheta: -0.7383823481642683
Tiempo: 0.8908908908908909, Theta: 0.639317800339616, dTheta: -0.7440870026780758
Tiempo: 0.9009009009009009, Theta: 0.6318407476935811, dTheta: -0.7497117403888016
Tiempo: 0.9109109109109109, Theta: 0.6243079915645542, dTheta: -0.7552560182814938
Tiempo: 0.9209209209209209, Theta: 0.6167203559020877, dTheta: -0.7607193043011817
Tiempo: 0.9309309309309309, Theta: 0.6090786670321566, dTheta: -0.7661010773528757
Tiempo: 0.9409409409409409, Theta: 0.6013837536571592, dTheta: -0.7714008273015669
Tiempo: 0.950950950950951, Theta: 0.5936364468559163, dTheta: -0.7766180549722277
Tiempo: 0.960960960960961, Theta: 0.5858375800836717, dTheta: -0.7817522721498114
Tiempo: 0.970970970970971, Theta: 0.577987989172092, dTheta: -0.7868030015792523
Tiempo: 0.980980980980981, Theta: 0.5700885123292668, dTheta: -0.7917697769654659
Tiempo: 0.990990990990991, Theta: 0.5621399901397082, dTheta: -0.7966521429733485
Tiempo: 1.001001001001001, Theta: 0.5541432655643515, dTheta: -0.8014496552277774
Tiempo: 1.011011011011011, Theta: 0.5460991839405546, dTheta: -0.8061618803136111
